X1 X2 Cluster
-2.758316092497897998e+00 2.758079969317805524e+00 1.000000000000000000e+00
-2.753904861418821515e+00 2.748444733769037640e+00 1.000000000000000000e+00
-2.765247672781028232e+00 2.861683221748998474e+00 1.000000000000000000e+00
-2.767955121569525279e+00 2.759628666934534014e+00 1.000000000000000000e+00
-2.746284151150832908e+00 2.640892675997523753e+00 1.000000000000000000e+00
-2.765209494635818110e+00 2.920462607341966166e+00 1.000000000000000000e+00
-2.777871834232849668e+00 2.702094708006038903e+00 1.000000000000000000e+00
-2.906601162965820606e+00 2.892375260720241759e+00 1.000000000000000000e+00
-2.729841958349218167e+00 3.043417273227766895e+00 1.000000000000000000e+00
-2.838284961172528931e+00 2.699638581435968021e+00 1.000000000000000000e+00
-2.794207140249374888e+00 2.967097758784531525e+00 1.000000000000000000e+00
-2.847581578225892418e+00 2.821305997616987415e+00 1.000000000000000000e+00
-2.789048717448531445e+00 2.782649709214961575e+00 1.000000000000000000e+00
-2.787780815659837597e+00 2.677194962872948114e+00 1.000000000000000000e+00
-2.752503766836198462e+00 2.835795184312606576e+00 1.000000000000000000e+00
-2.827242198430220288e+00 2.769273189344280350e+00 1.000000000000000000e+00
-2.894586429162037344e+00 2.735449088086660652e+00 1.000000000000000000e+00
-2.907053046639648475e+00 2.849178387189658768e+00 1.000000000000000000e+00
-2.731489092317444189e+00 2.777019883964210845e+00 1.000000000000000000e+00
-2.644857414734274936e+00 2.881997899168086352e+00 1.000000000000000000e+00
-2.749036646220895719e+00 2.853791759790810456e+00 1.000000000000000000e+00
-2.912845630061864366e+00 2.824868188027223503e+00 1.000000000000000000e+00
-2.796507209493852564e+00 2.950085867826838459e+00 1.000000000000000000e+00
-2.496758040709619486e+00 2.799134528063615068e+00 1.000000000000000000e+00
-2.942248786071567590e+00 2.572899044086707665e+00 1.000000000000000000e+00
-2.970481661442702315e+00 2.668122595427744770e+00 1.000000000000000000e+00
-2.646221767081707199e+00 2.720975386965780896e+00 1.000000000000000000e+00
-2.911636037731613502e+00 2.642172762547589926e+00 1.000000000000000000e+00
-2.844703501627933395e+00 2.775463638420599288e+00 1.000000000000000000e+00
-2.898655937262824001e+00 2.804213805003638260e+00 1.000000000000000000e+00
-2.671854663594195323e+00 2.844738702175041212e+00 1.000000000000000000e+00
-2.869478177998230795e+00 2.803110675541939489e+00 1.000000000000000000e+00
-3.073916478696173016e+00 2.916544484651970581e+00 1.000000000000000000e+00
-2.888379201545532737e+00 2.797529555058243744e+00 1.000000000000000000e+00
-2.523234833629465879e+00 2.742634747235689119e+00 1.000000000000000000e+00
-2.850034840678879355e+00 2.635087512092371576e+00 1.000000000000000000e+00
-2.754046082062183487e+00 2.863213964724239613e+00 1.000000000000000000e+00
-2.904131918525388212e+00 2.755925594888667618e+00 1.000000000000000000e+00
-2.694663780676499698e+00 2.740760849143430988e+00 1.000000000000000000e+00
-3.000794809105211236e+00 2.785578273668285032e+00 1.000000000000000000e+00
-2.712565959977563335e+00 2.944977897543912260e+00 1.000000000000000000e+00
-2.822196184125142171e+00 2.814451537856234697e+00 1.000000000000000000e+00
-2.874595927040099586e+00 3.011132687954162890e+00 1.000000000000000000e+00
-2.859615932729377974e+00 2.834494728960140097e+00 1.000000000000000000e+00
-2.825441620521071062e+00 2.882432492350766928e+00 1.000000000000000000e+00
-2.760724145152332554e+00 2.704745036723191998e+00 1.000000000000000000e+00
-2.959078226107198617e+00 2.737993156113253779e+00 1.000000000000000000e+00
